Entry ID,PDB ID,Resolution (Å),Asym ID,Source Organism,Gene Name,Entry Id (Polymer Entity Identifiers),Accession Code(s),Database Name
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7EGQ,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7EGQ,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7EGQ,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7EGQ,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7EGQ,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7EGQ,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7EGQ,P0DTD1,UniProt
,,,,,1a-1b,,,
6WPT,6WPT,"3.7, 3.7",,Severe acute respiratory syndrome coronavirus 2,S,6WPT,P0DTC2,UniProt
,,,,,2,,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,,,
,,,,,2,,,
,,,,Homo sapiens,,6WPT,,
,,,,Homo sapiens,,6WPT,,
6WPS,6WPS,"3.1, 3.1",,Severe acute respiratory syndrome coronavirus 2,S,6WPS,P0DTC2,UniProt
,,,,,2,,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,,,
,,,,,2,,,
,,,,Homo sapiens,,6WPS,,
,,,,Homo sapiens,,6WPS,,
7EAN,7EAN,1.91,,Severe acute respiratory syndrome coronavirus 2,S,7EAN,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Mus musculus,,7EAN,,
,,,,Mus musculus,,7EAN,,
7BWJ,7BWJ,2.85,,Severe acute respiratory syndrome coronavirus 2,S,7BWJ,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7BWJ,,
,,,,Homo sapiens,,7BWJ,,
6YI3,6YI3,,,Severe acute respiratory syndrome coronavirus 2,N,6YI3,P0DTC9,UniProt
7EIZ,7EIZ,,,Severe acute respiratory syndrome coronavirus 2,rep,7EIZ,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7EIZ,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7EIZ,P0DTC1,UniProt
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7EIZ,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7EIZ,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7EIZ,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7EIZ,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7EIZ,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7EIZ,P0DTD1,UniProt
,,,,,1a-1b,,,
7M6H,7M6H,4,,Severe acute respiratory syndrome coronavirus 2,S,7M6H,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7M6H,,
,,,,Homo sapiens,,7M6H,,
7M6G,7M6G,3.7,,Severe acute respiratory syndrome coronavirus 2,S,7M6G,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7M6G,,
,,,,Homo sapiens,,7M6G,,
7M6F,7M6F,3.9,,Severe acute respiratory syndrome coronavirus 2,S,7M6F,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7M6F,,
,,,,Homo sapiens,,7M6F,,
7JMW,7JMW,2.89,,Severe acute respiratory syndrome coronavirus 2,S,7JMW,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7JMW,,
,,,,Homo sapiens,,7JMW,,
7B3D,7B3D,2.8,,Severe acute respiratory syndrome coronavirus 2,rep,7B3D,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7B3D,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7B3D,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7B3D,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7B3D,,
6LZG,6LZG,2.5,,Homo sapiens,ACE2,6LZG,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,6LZG,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6XKP,6XKP,2.72,,Homo sapiens,,6XKP,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,6XKP,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,6XKP,,
1XAK,1XAK,1.8,,Severe acute respiratory syndrome-related coronavirus,7a,1XAK,P59635,UniProt
6ZCO,6ZCO,1.361,,Severe acute respiratory syndrome coronavirus 2,N,6ZCO,P0DTC9,UniProt
6YUN,6YUN,1.44,,Severe acute respiratory syndrome coronavirus 2,N,6YUN,P0DTC9,UniProt
1SSK,1SSK,,,Severe acute respiratory syndrome-related coronavirus,N,1SSK,P59595,UniProt
,,,,,N,,,
,,,,,9a,,,
7DK3,7DK3,6,,Severe acute respiratory syndrome coronavirus 2,S,7DK3,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7B27,7B27,2.902,,Severe acute respiratory syndrome coronavirus 2,S,7B27,A0A6M6B9J6,UniProt
,,,,Vicugna pacos,,7B27,,
1XJR,1XJR,2.7,,,,1XJR,,
7CDZ,7CDZ,1.8,,Severe acute respiratory syndrome coronavirus 2,N,7CDZ,P0DTC9,UniProt
2OFZ,2OFZ,1.17,,SARS coronavirus Tor2,N,2OFZ,P59595,UniProt
7MKM,7MKM,3.16,,Severe acute respiratory syndrome coronavirus 2,S,7MKM,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Mus musculus,,7MKM,,
,,,,Mus musculus,,7MKM,,
7M3I,7M3I,2.8,,Homo sapiens,,7M3I,,
,,,,Homo sapiens,,7M3I,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7M3I,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7KFW,7KFW,2.792,,Severe acute respiratory syndrome coronavirus 2,S,7KFW,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7KFW,,
,,,,Homo sapiens,,7KFW,,
6ZGI,6ZGI,2.9,,Severe acute respiratory syndrome coronavirus 2,S,6ZGI,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6ZGH,6ZGH,6.8,,Severe acute respiratory syndrome coronavirus 2,S,6ZGH,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6ZGG,6ZGG,3.8,,Severe acute respiratory syndrome coronavirus 2,S,6ZGG,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6ZGE,6ZGE,2.6,,Severe acute respiratory syndrome coronavirus 2,S,6ZGE,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7R6X,7R6X,2.95,,Homo sapiens,,7R6X,,
,,,,Homo sapiens,,7R6X,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7R6X,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7R6X,,
,,,,Homo sapiens,,7R6X,,
,,,,Homo sapiens,,7R6X,,
,,,,Homo sapiens,,7R6X,,
7M7W,7M7W,2.65,,Homo sapiens,,7M7W,,
,,,,Homo sapiens,,7M7W,,
,,,,Homo sapiens,,7M7W,,
,,,,Homo sapiens,,7M7W,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7M7W,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7M6I,7M6I,4,,Severe acute respiratory syndrome coronavirus 2,S,7M6I,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7M6I,,
,,,,Homo sapiens,,7M6I,,
7M6E,7M6E,3.3,,Severe acute respiratory syndrome coronavirus 2,S,7M6E,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7M6E,,
,,,,Homo sapiens,,7M6E,,
7LD1,7LD1,"3.4, 3.4",,Severe acute respiratory syndrome coronavirus 2,S,7LD1,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7LD1,,
,,,,Homo sapiens,,7LD1,,
7LCN,7LCN,"3.35, 3.35",,Severe acute respiratory syndrome coronavirus 2,S,7LCN,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7LCN,,
,,,,Homo sapiens,,7LCN,,
7LAB,7LAB,"2.97, 2.97",,Homo sapiens,,7LAB,,
,,,,Homo sapiens,,7LAB,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7LAB,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7LAA,7LAA,3.42,,Severe acute respiratory syndrome coronavirus 2,S,7LAA,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7LAA,,
,,,,Homo sapiens,,7LAA,,
7K9Z,7K9Z,2.95,,Homo sapiens,,7K9Z,,
,,,,Homo sapiens,,7K9Z,,
,,,,Homo sapiens,,7K9Z,,
,,,,Homo sapiens,,7K9Z,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7K9Z,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7C01,7C01,2.88,,Severe acute respiratory syndrome coronavirus 2,S,7C01,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7C01,,
,,,,Homo sapiens,,7C01,,
7AKD,7AKD,4,,Severe acute respiratory syndrome coronavirus 2,S,7AKD,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7AKD,,
,,,,Homo sapiens,,7AKD,,
7NTK,7NTK,1.9,,Homo sapiens,MPP5,7NTK,Q8N3R9,UniProt
,,,,,PALS1,,,
,,,,,MPP5,,,
,,,,,PALS1,,,
,,,,Severe acute respiratory syndrome coronavirus 2,E,7NTK,P0DTC4,UniProt
,,,,,4,,,
7CR5,7CR5,2.08,,Homo sapiens,,7CR5,,
,,,,Severe acute respiratory syndrome coronavirus 2,N,7CR5,P0DTC9,UniProt
,,,,Homo sapiens,,7CR5,,
7DHG,7DHG,2.2,,Homo sapiens,TOMM70,7DHG,O94826,UniProt
,,,,,KIAA0719,,,
,,,,,TOM70,,,
,,,,,TOMM70A,,,
,,,,,TOMM70,,,
,,,,,KIAA0719,,,
,,,,,TOM70,,,
,,,,,TOMM70A,,,
,,,,Severe acute respiratory syndrome coronavirus 2,9b,7DHG,P0DTD2,UniProt
,,,,,9b,,,
7CI3,7CI3,2.2,,Severe acute respiratory syndrome coronavirus 2,ORF7a,7CI3,P0DTC7,UniProt
,,,,,NS7a,,,
,,,,,ORF7a,,,
,,,,,7a,,,
7B3C,7B3C,3.4,,Severe acute respiratory syndrome coronavirus 2,rep,7B3C,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7B3C,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7B3C,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7B3C,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7B3C,,
7B3B,7B3B,3.1,,Severe acute respiratory syndrome coronavirus 2,rep,7B3B,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7B3B,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7B3B,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7B3B,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7B3B,,
7LC8,7LC8,,,Severe acute respiratory syndrome coronavirus 2,S,7LC8,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7L5B,7L5B,3.18,,Severe acute respiratory syndrome coronavirus 2,S,7L5B,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7L5B,,
,,,,Homo sapiens,,7L5B,,
7AAP,7AAP,2.5,,Severe acute respiratory syndrome coronavirus 2,rep,7AAP,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7AAP,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7AAP,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7AAP,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7AAP,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
7N5H,7N5H,3.24,,Severe acute respiratory syndrome coronavirus 2,S,7N5H,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7N5H,,
,,,,Homo sapiens,,7N5H,,
7KFY,7KFY,2.157,,Severe acute respiratory syndrome coronavirus 2,S,7KFY,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7KFY,,
,,,,Homo sapiens,,7KFY,,
7KFX,7KFX,2.226,,Severe acute respiratory syndrome coronavirus 2,S,7KFX,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7KFX,,
,,,,Homo sapiens,,7KFX,,
7KFV,7KFV,2.102,,Severe acute respiratory syndrome coronavirus 2,S,7KFV,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7KFV,,
,,,,Homo sapiens,,7KFV,,
7JMP,7JMP,1.712,,Severe acute respiratory syndrome coronavirus 2,S,7JMP,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7JMP,,
,,,,Homo sapiens,,7JMP,,
7JMO,7JMO,2.359,,Homo sapiens,,7JMO,,
,,,,Homo sapiens,,7JMO,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7JMO,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7DF3,7DF3,2.7,,Severe acute respiratory syndrome coronavirus 2,S,7DF3,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7DDN,7DDN,6.3,,Severe acute respiratory syndrome coronavirus 2,S,7DDN,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7DDD,7DDD,3,,Severe acute respiratory syndrome coronavirus 2,S,7DDD,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7CHF,7CHF,2.674,,Homo sapiens,,7CHF,,
,,,,Homo sapiens,,7CHF,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7CHF,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7CHF,,
,,,,Homo sapiens,,7CHF,,
6X6P,6X6P,3.22,,Severe acute respiratory syndrome coronavirus 2,S,6X6P,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7DE1,7DE1,2,,Severe acute respiratory syndrome coronavirus 2,N,7DE1,P0DTC9,UniProt
6WKP,6WKP,2.67,,Severe acute respiratory syndrome coronavirus 2,N,6WKP,P0DTC9,UniProt
7E3J,7E3J,2.99,,Canis lupus familiaris,ACE2,7E3J,A0A5F4CXG9,UniProt
,,,,,CLTRN,,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7E3J,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7CHB,7CHB,2.4,,Homo sapiens,,7CHB,,
,,,,Homo sapiens,,7CHB,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7CHB,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7B3O,7B3O,2,,Severe acute respiratory syndrome coronavirus 2,S,7B3O,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7B3O,,
,,,,Homo sapiens,,7B3O,,
7AKJ,7AKJ,3.8,,SARS coronavirus WH20,,7AKJ,P59594,UniProt
,,,,Homo sapiens,,7AKJ,,
,,,,Homo sapiens,,7AKJ,,
6ZB5,6ZB5,2.85,,Severe acute respiratory syndrome coronavirus 2,S,6ZB5,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6ZB4,6ZB4,3.03,,Severe acute respiratory syndrome coronavirus 2,S,6ZB4,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6XKQ,6XKQ,2.55,,Severe acute respiratory syndrome coronavirus 2,S,6XKQ,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,6XKQ,,
,,,,Homo sapiens,,6XKQ,,
2OG3,2OG3,1.85,,SARS coronavirus Tor2,N,2OG3,P59595,UniProt
2GIB,2GIB,1.75,,Severe acute respiratory syndrome-related coronavirus,N,2GIB,P59595,UniProt
,,,,,N,,,
,,,,,9a,,,
2CJR,2CJR,2.5,,SARS coronavirus TW1,,2CJR,P59595,UniProt
6W37,6W37,2.9,,Severe acute respiratory syndrome coronavirus 2,7a,6W37,P0DTC7,UniProt
,,,,,7a,,,
7OYG,7OYG,5.5,,Severe acute respiratory syndrome coronavirus 2,rep,7OYG,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7OYG,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7OYG,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7OYG,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7OYG,P0DTD1,UniProt
